PLAYER NAME;OT_Fairway_Bunker_Tendency_Pct;OT_Hit_Fairway_Percentage_Pct;OT_Rough_Tendency_Pct;OT_Fairway_Bunker_Tendency_RTP;OT_Hit_Fairway_Percentage_RTP;OT_Rough_Tendency_RTP;OT_Apex_Ht;OT_Driving_Dist;OT_Driving_Dist_Efficiency;APR_100-125_Fwy_Dist;APR_100-125_Rgh_Dist;APR_125-150_Fwy_Dist;APR_125-150_Rgh_Dist;APR_150-175_Fwy_Dist;APR_150-175_Rgh_Dist;APR_175-200_Fwy_Dist;APR_175-200_Rgh_Dist;APR_200-225_Fwy_Dist;APR_200-225_Rgh_Dist;APR_225-250_Fwy_Dist;APR_225-250_Rgh_Dist;APR_250-275_Fwy_Dist;APR_250-275_Rgh_Dist;APR_50-125_Fwy_Dist;APR_50-125_Rgh_Dist;APR_50-75_Fwy_Dist;APR_50-75_Rgh_Dist;APR_75-100_Fwy_Dist;APR_75-100_Rgh_Dist;APR_lt100_Fwy_Dist;APR_lt100_Rgh_Dist;APR_gt100_Fwy_Dist;APR_gt100_Rgh_Dist;APR_gt200_Fwy_Dist;APR_gt200_Rgh_Dist;APR_gt275_Fwy_Dist;APR_gt275_Rgh_Dist;APR_100-125_Fwy_RTP;APR_100-125_Rgh_RTP;APR_125-150_Fwy_RTP;APR_125-150_Rgh_RTP;APR_150-175_Fwy_RTP;APR_150-175_Rgh_RTP;APR_175-200_Fwy_RTP;APR_175-200_Rgh_RTP;APR_200-225_Fwy_RTP;APR_200-225_Rgh_RTP;APR_225-250_Fwy_RTP;APR_225-250_Rgh_RTP;APR_250-275_Fwy_RTP;APR_250-275_Rgh_RTP;APR_50-125_Fwy_RTP;APR_50-125_Rgh_RTP;APR_50-75_Fwy_RTP;APR_50-75_Rgh_RTP;APR_75-100_Fwy_RTP;APR_75-100_Rgh_RTP;APR_lt100_Fwy_RTP;APR_lt100_Rgh_RTP;APR_gt100_Fwy_RTP;APR_gt100_Rgh_RTP;APR_gt200_Fwy_RTP;APR_gt200_Rgh_RTP;APR_gt275_Fwy_RTP;APR_gt275_Rgh_RTP;ARG_10-20_Scramble_Pct;ARG_20-30_Scramble_Pct;ARG_Other_Locations_Scramble_Pct;ARG_Fringe_Scramble_Pct;ARG_Rough_Scramble_Pct;ARG_Sand_Scramble_Pct;ARG_gt10_Scramble_Pct;ARG_gt30_Scramble_Pct;ARG_Scramble_Dist;ARG_10-20_Scramble_RTP;ARG_20-30_Scramble_RTP;ARG_Fringe_Scramble_RTP;ARG_Rough_Scramble_RTP;ARG_gt30_Scramble_RTP;ARG_SandSaves_Pct;G_Putts_AVG;G_10-15_one_putt_Pct;G_15-20_one_putt_Pct;G_20-25_one_putt_Pct;G_5-10_one_putt_Pct;G_lt5_one_putt_Pct;G_1-Putts_per_Round;G_2-Putts_per_Round;G_3-Putts_per_Round;G_Birdie_Conversion_Pct;G_Bogey_Avg;Rounds;SC_Bogey_Pct;SC_Par_3_Birdie_or_Better_Pct;SC_Par_4_Birdie_or_Better_Pct;SC_Par_5_Birdie_or_Better_Pct;SC_Score_Avg;SC_Score_Avg_Adj;SC_Par_3_Score_Avg;SC_Par_4_Score_Avg;SC_Par_5_Score_Avg;Earnings;Year;OT_Launch_Angle_Avg;SG_APR;SG_ARG;SG_OTT;SG_TOT;SG_T2G;G_3Putt_Avoidance;G_10-15_3Putt_Avoidance;G_15-20_3Putt_Avoidance;G_20-25_3Putt_Avoidance;G_5-10_3Putt_Avoidance;SG_PUTT;OWGR
Adam Long;6,2;60,44;29,16;0,18;-0,23;0,9;1445;10512;2,663;253;439;264;399;326;556;405;650;523;820;552;1107;764;813;229;356;187;250;210;291;210;278;397;565;608;929;1186;1081;-0,19388;0,18182;-0,15484;0;-0,05376;0,14062;-0,01235;0,34043;0,0625;0,44444;-0,31746;0;-0,48276;-0,33333;-0,18182;0,07353;-0,07143;-0,18182;-0,21311;0,04167;-0,0016;-0,02381;-0,00013;0,14545;-0,15525;0,04;-0,46667;-0,25;61,8;51,76;62,29;97,67;59,48;43,33;93,9;28,13;115;0,388;0,494;-0,047;0,451;0,922;45,21;1,756;32,14;18,18;9,62;58,78;97,32;7,22;10,07;0,47;30,87;2,48;88;15,15;12,75;18,96;43,98;70,41;0,43231;3,06;3,99;4,62;2186913;2020;13,9;0,358;-0,055;0,004;0,533;0,307;2,71;1,04;1,67;1,94;0;0,226;1,82
Adam Schenk;5,1;62,88;27,97;0,205;-0,22;0,33;1093;10872;2,543;257;305;277;461;291;428;427;519;444;687;595;1049;670;1171;227;299;181;337;191;278;190;297;370;521;539;928;762;1291;-0,07059;0,11765;-0,13008;0,12245;-0,14545;0,02174;0,075;0,32;-0,03797;-0,35714;-0,32653;-0,5;-0,84615;0;-0,19079;0,07692;-0,36842;0;-0,33333;0,0625;-0,005;0;-0,00018;0,04268;-0,275;-0,37037;-0,5;-0,5;67,67;54;65,15;95,24;62,1;58,57;84,34;26,47;96;0,331;0,46;-0,048;0,387;0,853;49,07;1,778;32,73;20,39;10,59;58,37;97,8;7,22;9,91;0,65;30,24;2,3;74;13,81;15,28;16,98;46,61;70,732;0,93509;3,03;3,99;4,59;678928;2020;7,05;0,001;-0,095;0,279;0,303;0,185;3,6;0;1,96;1,19;0;0,118;0,82
Adam Scott;3,9;54,59;36,47;0,313;-0,22;-0,13;1203;11091,6;2,667;204;331;263;470;333;666;413;643;464;745;623;863;883;862;199;379;139;178;219;781;188;466;401;593;615;827;917;1071;-0,24324;0,04;-0,16129;-0,05556;-0,22078;0,13043;0,06154;0,16;-0,04545;0,09091;0;0;-0,25;-0,5;-0,13846;0,05405;0;0;0;0,16667;0;0,15385;-0,00036;0,0431;-0,09474;-0,08;-0,42857;0;64,06;60,98;52,31;95;66,67;53,66;84,62;36,84;93;0,344;0,39;-0,05;0,316;0,816;55,07;1,74;27,27;15,15;19,57;61,11;96,96;7,11;10,37;0,29;31,18;2,26;38;14,04;13,46;19,9;41,38;69,977;0,31879;3,01;3,98;4,64;2272434;2020;9,36;0,268;0,424;-0,056;0,905;0,636;1,75;1,15;0;0;0;0,269;5,32
Alex Noren;4,8;57,9;32,74;0,167;-0,23;0,2;1344;10656;2,511;302;416;307;474;343;509;434;594;552;614;719;763;836;799;270;350;221;256;235;303;221;263;434;555;652;764;925;1137;-0,14;-0,04;-0,12903;0,20588;-0,0885;0,13953;-0,02239;0,09375;-0,01316;0,5;0;-0,25;-0,35714;-0,33333;-0,14444;-0,08511;0;0,07692;-0,21429;-0,44444;-0,00372;-0,16;-0,00017;0,09581;-0,09848;0,0303;-0,63636;0;69,11;51,02;62,5;94,12;59,65;58,23;89,39;25,93;88;0,276;0,449;-0,088;0,412;0,889;58,59;1,74;35,58;15,15;14,52;58,96;97,2;7,3;9,95;0,38;31,69;2,48;56;14,78;15,11;17,5;50;70,127;0,48462;3,04;3,99;4,54;1274003;2020;9,67;0,039;0,443;-0,231;0,651;0,251;2,08;1;0;1,61;0;0,4;1,56
Andrew Putnam;4,7;55,76;35,89;-0,19;-0,11;2,14;1039;10004,4;2,466;315;387;279;425;347;594;405;662;566;938;868;891;588;1341;267;337;146;270;252;272;218;272;431;614;718;918;1424;785;-0,03226;0,125;-0,11268;0,1875;-0,11364;0,30556;0,07368;0,2963;0,13953;0,45455;-0,04545;-0,25;-0,30769;1;-0,10769;0,14286;0;0,33333;-0,24;0,11111;-0,00486;0,16667;-0,00011;0,23478;-0,03529;0,15;-0,57143;-0,5;62,65;66,67;66,27;90,48;56,79;48,94;80,49;43,14;106;0,373;0,381;0,143;0,444;0,686;51,9;1,769;32,58;27,27;13,73;64,96;98,14;7,37;10,13;0,39;28,03;2,63;46;16,55;14,36;13,73;36,84;71,871;0,61002;3,03;4,06;4,78;557140;2020;8,7;-0,495;-0,246;-1,121;-1,021;-1,862;2,17;0;1,85;3,92;0;0,841;1,39
Arjun Atwal;3,9;64,87;28,67;0,364;-0,11;0,13;1125;10314;2,634;226;359;337;401;296;413;441;822;480;972;515;803;710;426;209;346;118;185;188;575;174;306;383;508;576;840;1453;;-0,13514;-0,14286;-0,02083;0,14286;-0,01667;0,1;0,12766;0,11111;0,1;-0,25;-0,30769;-0,66667;-0,375;0;-0,10345;-0,2;-0,66667;-0,25;0,05556;-0,5;0;-0,14286;-8,00E-05;0;-0,09259;-0,375;-0,33333;;64,44;44;44,93;81,82;74,65;50;84,62;33,33;100;0,289;0,56;0,182;0,211;0,81;50;1,806;39,29;7,32;17,5;45,68;96,19;6,55;10,26;0,81;27,37;2,87;31;17,2;11,2;17,52;39,22;71,867;1,02803;3,14;4,01;4,68;63252;2020;11,45;-0,377;0,238;-0,315;-1,002;-0,454;4,48;1,96;2,44;2,5;0;-0,548;
Austin Cook;4,6;68,11;24,1;0,387;-0,19;1,12;1291;10576,8;2,676;235;370;267;435;332;467;427;625;487;1001;703;902;830;843;223;351;214;368;204;316;202;321;391;566;637;1080;1168;1709;-0,16667;0,17391;-0,13793;0,11538;-0,0942;0,125;0,07207;0,13043;-0,05479;0,63636;-0,12195;0;-0,5;0;-0,1506;0,125;0,22222;0,33333;-0,18182;0;-0,00194;0,1;-0,00016;0,15447;-0,16312;0,26316;-0,55556;-0,66667;56,03;54,29;58,54;93,55;51,49;46,3;95;26,32;107;0,457;0,457;-0,065;0,53;0,877;42,11;1,779;36,5;24,05;12,2;52,85;97,33;6,83;10,4;0,55;29,21;2,63;60;16,3;14,94;18,03;38,95;71,522;0,92172;3,06;4,01;4,71;386353;2020;12,71;-0,492;-0,049;0,276;-0,15;-0,265;3,06;0,76;1,28;2,44;0;0,115;0,43
Beau Hossler;8,2;54,49;31,96;0,107;-0,19;1,29;1361;11037,6;2,674;269;360;300;448;362;583;421;697;579;831;598;1016;772;806;240;369;195;384;193;373;196;372;426;585;648;981;1225;1321;-0,08889;0,37037;-0,07965;0,21277;-0,01042;0,13208;-0,08989;0,33333;-0,01205;0,28571;-0,27907;-0,09091;-0,40909;0,25;-0,09524;0,2549;-0,125;0,18182;-0,09756;0,07692;-0,00155;0,12;-0,00017;0,20115;-0,1465;0,03846;-0,11111;-0,25;58,77;52,94;53,57;92,68;56,58;52,44;85,29;30,16;103;0,421;0,5;0,024;0,48;0,889;51,82;1,757;34,11;21,43;14,06;59,04;96,55;7,19;10,4;0,21;30,01;2,54;67;16;11,15;17,2;42,13;71,387;0,59594;3,04;4,05;4,66;658088;2020;11,5;-0,71;-0,085;-0,16;-0,499;-0,955;1,33;0,78;0;0;0;0,456;0,67
Ben Martin;5,2;66,78;25,73;0,625;-0,17;0,89;1063;10209,6;2,608;245;284;237;440;318;525;389;678;460;883;762;1266;371;702;235;241;284;111;211;200;213;272;374;575;597;899;1301;1023;-0,025;0,25;-0,35556;-0,06667;-0,04225;0,26667;0,07143;0,33333;-0,07895;0,25;-0,1;0,5;-0,66667;-0,5;0;0;0,6;-0,5;-0,08;-0,5;-0,00094;0;-0,00036;0,15625;-0,18462;0;-0,25;0;68,97;40;62,96;95,65;59,34;53,33;86,11;36,84;115;0,328;0,65;0;0,418;0,789;48,21;1,768;22,81;13,04;9,09;58,16;97,16;7,17;10,19;0,42;29,2;2,17;36;13,58;15,86;18,02;34,17;71,259;0,92569;2,99;4;4,73;270879;2020;8,28;0,016;-0,259;-0,029;-0,258;-0,272;2,47;1,79;0;6,06;0;0,014;0,36
Ben Taylor;8,2;56,27;32,48;0,063;-0,16;1,81;1238;10627,2;2,607;250;324;325;483;363;515;369;700;415;816;614;647;686;1283;232;312;144;204;217;323;197;296;383;521;560;849;1098;;-0,21818;0,12;-0,16393;0,2;0,01136;0,2381;-0,08929;0,05882;0,13514;0,57143;-0,04545;-1;-0,33333;0;-0,19753;0,14634;-0,25;0,5;-0,11111;0,08333;-0,00556;0,23529;-0,00027;0,17526;-0,03947;0,33333;-0,6;;64,41;51,72;57,33;92,86;51,14;52,27;88,57;21,21;108;0,356;0,517;-0,071;0,534;0,818;49,12;1,808;23,94;16;10;59,13;97,32;6,5;10,74;0,6;26,78;2,62;42;15,87;14,79;16,63;33,1;71,823;0,96626;3,01;4,02;4,76;99775;2020;10,77;-0,054;-0,192;-0,337;-0,585;-0,583;3,31;1,45;2,04;0;0;-0,002;0,18
